2026-07-24 21:44:01 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:02 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:44:06 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:06 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:44:11 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:11 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::ffff:127.0.0.1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::ffff:127.0.0.1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:44:50 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:46:15 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:46:15 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:46:40 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:46:40 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:46:45 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:46:45 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:47:30 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:47:31 - 	 si is not defined - /api/sysinfo/getbatterydata - GET - ::1
2026-07-24 21:47:31 - 	 si is not defined - /api/sysinfo/getnetworkstats - GET - ::1
